Comment Date,Comment
"Sep 2, 2021, 5:47:55 PM",Impossible 1:15 run time on a mile+ segment (why drive...)
"Sep 2, 2021, 5:48:59 PM",Obvious bike (multiple sub 4 minute miles in a row)
"Sep 2, 2021, 5:50:35 PM",obvious bike ride.  
"Sep 4, 2021, 2:48:26 PM",Michael Rapp That's right when I was trying to figure out how to avoid running back up those hills to Eisenhower!  
"Sep 4, 2021, 2:55:43 PM",Captain Quad Thanks! Training for an October marathon in San Antonio is definitely an extra challenge.
"Sep 9, 2021, 2:38:11 PM",I thought that was you who flew out of the bushes near the trailhead!
"Sep 21, 2021, 3:02:47 PM",🔥🔥🔥
"Oct 3, 2021, 5:36:56 PM",Strong work!
"Oct 19, 2021, 5:08:13 PM",Christine McLaughlin you ran the same speed I did!  This is pretty much my go-to spot for anything over 10 during the week. 
"Oct 23, 2021, 1:46:25 PM","Thanks Sylvia Prabudy!  BCS half, and then the full at Houston. Are you doing Houston again?"
"Oct 25, 2021, 3:56:56 PM","Kristopher koch It's a little more than a mile back to the neighborhood, so a 5 or 6 mile loop depending on which route you take through the park.  You're taking your life in your hands at a couple of those intersections though.  Saturday morning I saw a lady plow into a deer on J-M that had been standing still in the road for about 30 seconds."
"Nov 3, 2021, 11:59:10 PM",Killer!
"Nov 5, 2021, 3:03:07 PM",Good luck!
"Nov 6, 2021, 4:08:15 PM",Very nice!  All that heat training paid off. 
"Nov 6, 2021, 4:13:34 PM",Strong work!  
"Nov 11, 2021, 6:22:24 PM",Those McAllister roots have taken a lot of us down. Hope you heal up fast!
"Nov 14, 2021, 4:16:54 PM",Nice seeing you out there!
"Dec 4, 2021, 11:33:45 PM",Good luck tomorrow!
"Dec 5, 2021, 1:28:44 PM",Great job! Congrats!
"Dec 8, 2021, 2:46:06 PM","Because chicks want guys that wear tight pants and tattered clothing and spit blood, not guys who dress like waiters and name themselves after desserts!"
"Dec 26, 2021, 7:50:09 PM",Thanks Sylvia Prabudy!  
"Jan 2, 2022, 10:35:02 PM","JFK is the park about 3 miles south of the Jack White trailhead. They have only poured about half a mile of concrete on the new trail, but the map shows a planned trail going at least a couple of miles"
"Feb 1, 2022, 11:20:02 AM",WR pace on uphill segment.  appears she forgot to turn her watch off and drove home
"Feb 2, 2022, 2:01:21 PM",It's been a while since I've been to that section.  I'll probably head out that way Saturday and can let you know.
"Mar 5, 2022, 9:23:13 PM",Thanks Bryan Meyenberg!  Good luck on the half tomorrow
"Mar 27, 2022, 4:57:10 PM",Nice run!  I must have just missed you out there. 
"Apr 18, 2022, 7:14:19 PM",Congrats! 
"Apr 19, 2022, 11:46:45 AM",Thanks everyone! 
"May 28, 2022, 3:25:32 PM",Nice work!  Do you have a specific race in mind?
"May 28, 2022, 3:45:37 PM",That’s awesome. I’ve heard nothing but good things about the MDI race and it looks beautiful. Chicago is the plan as long as I survive training through San Antonio summer. 
